ticker,fiscal_period,fiscal_year,filing_date,source_available_date,source_accession,original_label,normalized_category,value,unit,extraction_method,mapping_notes
NVDA,FY,2022,2024-02-21,2024-02-21,0001045810-24-000029,segment_revenue,other,26914000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q1,2022,2021-05-26,2021-05-26,0001045810-21-000064,segment_revenue,other,5661000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q2,2022,2021-08-20,2021-08-20,0001045810-21-000131,segment_revenue,other,12168000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q3,2022,2021-11-22,2021-11-22,0001045810-21-000163,segment_revenue,other,19271000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,FY,2023,2025-02-26,2025-02-26,0001045810-25-000023,segment_revenue,other,26974000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q1,2023,2022-05-27,2022-05-27,0001045810-22-000079,segment_revenue,other,8288000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q2,2023,2022-08-31,2022-08-31,0001045810-22-000147,segment_revenue,other,14992000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q3,2023,2022-11-18,2022-11-18,0001045810-22-000166,segment_revenue,other,20923000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,FY,2024,2026-02-25,2026-02-25,0001045810-26-000021,segment_revenue,other,60922000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q1,2024,2023-05-26,2023-05-26,0001045810-23-000093,segment_revenue,other,7192000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q2,2024,2023-08-28,2023-08-28,0001045810-23-000175,segment_revenue,other,20699000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q3,2024,2023-11-21,2023-11-21,0001045810-23-000227,segment_revenue,other,38819000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,FY,2025,2026-02-25,2026-02-25,0001045810-26-000021,segment_revenue,other,130497000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q1,2025,2024-05-29,2024-05-29,0001045810-24-000124,segment_revenue,other,26044000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q2,2025,2024-08-28,2024-08-28,0001045810-24-000264,segment_revenue,other,56084000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q3,2025,2024-11-20,2024-11-20,0001045810-24-000316,segment_revenue,other,91166000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,FY,2026,2026-02-25,2026-02-25,0001045810-26-000021,segment_revenue,other,215938000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q1,2026,2025-05-28,2025-05-28,0001045810-25-000116,segment_revenue,other,44062000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q2,2026,2025-08-27,2025-08-27,0001045810-25-000209,segment_revenue,other,90805000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
NVDA,Q3,2026,2025-11-19,2025-11-19,0001045810-25-000230,segment_revenue,other,147811000000.0,USD,xbrl_dimension,unmapped label: 'segment_revenue'
